text,label,document_type,domain,source_document,source_section,quality,comment,candidate_id,project_id,original_role_gold,original_sub_role_gold,context_before,context_after,review_priority,label_before_correction,correction_reason
"Cette énergie va activer la libération de protons de la matrice vers l’espace intermembranaire au niveau des complexes I, III et IV, créant ainsi un force « proto-motrice » qui va fournir l’énergie nécessaire à l’ATP synthétase pour produire de l’ATP à partir d’ADP et de phosphate inorganique (Pi).",vrai_verrou_rd,raw,to_detect_by_nlp,24E6501 Rapport AQVF_signed_send.pdf,,good,from role_gold=verrou | sub_role= | status=to_review,8b0a9a9257bfb961,projet_1_,verrou,,Des électrons capturés à partir de molécules donneuses vont circuler au travers des 4 premiers complexes grâce à des réactions d’oxydo-réduction en générant une force « électro-motrice ».,Les cinq complexes multiprotéiques situés dans la membrane interne sont représentés en jaune.,HIGH,vrai_verrou_rd,
Dosage du Complexe I - NADH Dehydrogenase L’activité du complexe I a été mesurée par un dosage spectrophotométrique à 340 nm (mesure de la décroissance de la fluorescence du NADH).,vrai_verrou_rd,raw,to_detect_by_nlp,24E6501 Rapport AQVF_signed_send.pdf,,good,from role_gold=verrou | sub_role= | status=to_review,9e77d17bd9dbd07e,projet_1_,verrou,,Lots concernés : tous 9.3.,L’activité du complexe I (3-5 explants par lot) est exprimée en U/g de protéines.,HIGH,vrai_verrou_rd,
Analyser les réactions et les opinions des individus dans divers domaines représente un verrou complexe en raison de la diversité des contextes culturels et linguistiques dans lesquels ces opinions sont exprimées.,vrai_verrou_rd,raw,to_detect_by_nlp,ABINNOV_DT-2023_ BATREND_V1.1_AD.docx,verrou_technique,good,from role_gold=verrou | sub_role=verrou_technique | status=auto_corrected,e787fa692600f1b1,projet_10_,verrou,verrou_technique,,"Les opinions varient considérablement en fonction du contexte culturel, ce qui peut conduire à des interprétations différentes selon les normes sociales, les valeurs, les croyances et les attitudes propres à chaque culture.",LOW,vrai_verrou_rd,
"Dans la littérature, bien que quelques études abordent la mise en œuvre des solutions d'écoute sociale, il est souvent constaté que ces solutions ne parviennent pas à fournir une surveillance en temps réel à grande échelle sur l'ensemble des interactions des réseaux sociaux et du Web.",vrai_verrou_rd,raw,to_detect_by_nlp,ABINNOV_DT-2023_ BATREND_V1.1_AD.docx,verrou_technique,good,from role_gold=verrou | sub_role=surveillance_temps_reel_grande_echelle | status=done,b2cab88a7089027b,projet_10_,verrou,surveillance_temps_reel_grande_echelle,"Ce défi est multifactoriel, nécessitant la gestion d’un volume de données massif tout en assurant une latence minimale, et une fiabilité des données collectées.","Elles se concentrent généralement sur un seul réseau social ou sur des plateformes spécifiques, ce qui limite leur portée et leur capacité à collecter l'ensemble du paysage numérique pertinent.",HIGH,vrai_verrou_rd,
"Dans le contexte de la mise en œuvre d’une solution de l’écoute sociale, nous avons identifié trois verrous majeurs : La complexité de surveiller en temps réel sur plusieurs millions de sources incluant les réseaux sociaux et le web ; Analyser les réactions et les opinions des gens quels que soient les domaines visés ; Déterminer les influenceurs et suivre en temps réel l’impact des actions pour en déduire des possibles améliorations.",vrai_verrou_rd,raw,to_detect_by_nlp,ABINNOV_DT-2023_ BATREND_V1.1_AD.docx,verrou_technique,good,from role_gold=verrou | sub_role=complexite_ou_manque_maitrise | status=auto_corrected,be400353d2a3aaf8,projet_10_,verrou,complexite_ou_manque_maitrise,,,LOW,vrai_verrou_rd,
"Dans le contexte de l’écoute sociale, la surveillance en temps réel sur plusieurs millions de sources représente un verrou complexe à résoudre.",vrai_verrou_rd,raw,to_detect_by_nlp,ABINNOV_DT-2023_ BATREND_V1.1_AD.docx,verrou_technique,good,from role_gold=verrou | sub_role=verrou_technique | status=auto_corrected,d5c96f7607e4f87b,projet_10_,verrou,verrou_technique,,"Ce défi est multifactoriel, nécessitant la gestion d’un volume de données massif tout en assurant une latence minimale, et une fiabilité des données collectées.",LOW,vrai_verrou_rd,
"Elles se concentrent généralement sur un seul réseau social ou sur des plateformes spécifiques, ce qui limite leur portée et leur capacité à collecter l'ensemble du paysage numérique pertinent.",vrai_verrou_rd,raw,to_detect_by_nlp,ABINNOV_DT-2023_ BATREND_V1.1_AD.docx,limite_incertitude,good,from role_gold=limite | sub_role=incertitude_ou_validation_insuffisante | status=auto_corrected,47dfc09153e0cd0f,projet_10_,limite,incertitude_ou_validation_insuffisante,"Dans la littérature, bien que quelques études abordent la mise en œuvre des solutions d'écoute sociale, il est souvent constaté que ces solutions ne parviennent pas à fournir une surveillance en temps réel à grande échelle sur l'ensemble des interactions des réseaux sociaux et du Web.",,LOW,vrai_verrou_rd,
"En outre, la plupart des recherches et des analyses sont menées en anglais, ce qui limite leur mise en œuvre pour des contextes francophones comme le nôtre.",vrai_verrou_rd,raw,to_detect_by_nlp,ABINNOV_DT-2023_ BATREND_V1.1_AD.docx,,good,from role_gold=verrou | sub_role= | status=to_review,b671e26b542725c5,projet_10_,verrou,,Cela peut rendre difficile la généralisation des conclusions à d'autres situations ou populations.,"Cette limitation linguistique peut entraîner des biais dans les résultats, car les expressions, les nuances de langage et les tendances culturelles peuvent différer selon les langues.",HIGH,vrai_verrou_rd,
Analyser les réactions et les opinions des individus dans un domaine précis comme celui de la politique représente un verrou complexe.,vrai_verrou_rd,raw,to_detect_by_nlp,ABINNOV_DT-2023_ BATREND_V1.2_AD.docx,verrou_technique,good,from role_gold=verrou | sub_role=verrou_technique | status=auto_corrected,d5889723bf352891,projet_10_,verrou,verrou_technique,,"En effet, les opinions varient considérablement en fonction du contexte culturel, ce qui peut conduire à des interprétations différentes selon les normes sociales, les valeurs, les croyances et les attitudes propres à chaque culture.",LOW,vrai_verrou_rd,
"Dans le contexte de la mise en œuvre d’une solution d’écoute sociale, nous avons identifié trois verrous majeurs : La complexité de surveiller en temps réel sur plusieurs millions de sources incluant les réseaux sociaux et le Web ; La complexité liée à l’analyse des réactions et des opinions des gens dans un domaine spécifique (pour notre cas, il s’agit du domaine de la politique) ; La détermination en temps réel des influenceurs des opinions partagés sur le Web et les réseaux sociaux.",vrai_verrou_rd,raw,to_detect_by_nlp,ABINNOV_DT-2023_ BATREND_V1.2_AD.docx,verrou_technique,good,from role_gold=verrou | sub_role=complexite_ou_manque_maitrise | status=auto_corrected,b370780e111f3912,projet_10_,verrou,complexite_ou_manque_maitrise,,,LOW,vrai_verrou_rd,
"Dans le contexte d’écoute sociale, la surveillance en temps réel sur plusieurs millions de sources représente un verrou complexe à résoudre.",vrai_verrou_rd,raw,to_detect_by_nlp,ABINNOV_DT-2023_ BATREND_V1.2_AD.docx,verrou_technique,good,from role_gold=verrou | sub_role=verrou_technique | status=auto_corrected,11d35b21c308ad84,projet_10_,verrou,verrou_technique,,"Ce défi est multifactoriel, nécessitant la gestion d’un volume de données massif tout en assurant une latence minimale, et une fiabilité des données collectées.",LOW,vrai_verrou_rd,
"De surcroit, la plupart des recherches et des analyses sont menées en anglais, ce qui limite leur mise en œuvre pour des contextes francophones comme le nôtre.",vrai_verrou_rd,raw,to_detect_by_nlp,ABINNOV_DT-2023_ BATREND_V1.2_AD.docx,,good,from role_gold=verrou | sub_role= | status=to_review,95db10992942e0a1,projet_10_,verrou,,Elles se concentrent souvent sur un seul réseau social comme Twitter.,"Cette limitation linguistique peut entraîner des biais dans les résultats, car les expressions, les nuances de langage et les tendances culturelles peuvent différer selon les langues.",HIGH,vrai_verrou_rd,
